"mesh","umls"
"iron-binding proteins","Biologically Active Substance"
"irritable bowel syndrome","Disease or Syndrome"
"irritants","Hazardous or Poisonous Substance"
"ischemia","Pathologic Function"
"ischemic attack, transient","Disease or Syndrome"
"islam","Idea or Concept"
"islets of langerhans","Body Part, Organ, or Organ Component"
"isoantibodies","Immunologic Factor"
"isoantigens","Immunologic Factor"
"isocitrate dehydrogenase","Amino Acid, Peptide, or Protein"
"isocitrate dehydrogenase","Enzyme"
"isocyanates","Organic Chemical"
"isoelectric focusing","Laboratory Procedure"
"isoelectric point","Quantitative Concept"
"isoenzymes","Amino Acid, Peptide, or Protein"
"isoenzymes","Enzyme"
"isoetharine","Organic Chemical"
"isoetharine","Pharmacologic Substance"
"isoflavones","Organic Chemical"
"isoflavones","Pharmacologic Substance"
"isoflurane","Organic Chemical"
"isoflurane","Pharmacologic Substance"
"isoleucine","Amino Acid, Peptide, or Protein"
"isoleucine","Biologically Active Substance"
"isoleucine","Pharmacologic Substance"
"isomerism","Natural Phenomenon or Process"
"isometric contraction","Organ or Tissue Function"
"isoniazid","Organic Chemical"
"isoniazid","Pharmacologic Substance"
"isonicotinic acids","Organic Chemical"
"isoprostanes","Biologically Active Substance"
"isoprostanes","Organic Chemical"
"isoproterenol","Organic Chemical"
"isoproterenol","Pharmacologic Substance"
"isoptera","Eukaryote"
"isoquinolines","Organic Chemical"
"isosorbide dinitrate","Organic Chemical"
"isosorbide dinitrate","Pharmacologic Substance"
"isothiocyanates","Organic Chemical"
"isotonic solutions","Pharmacologic Substance"
"isotope labeling","Research Activity"
"isotopes","Element, Ion, or Isotope"
"isotretinoin","Organic Chemical"
"isotretinoin","Pharmacologic Substance"
"isoxazoles","Organic Chemical"
"israel","Geographic Area"
"italy","Geographic Area"
"itraconazole","Organic Chemical"
"itraconazole","Pharmacologic Substance"
"ivermectin","Organic Chemical"
"ivermectin","Pharmacologic Substance"
"jamaica","Geographic Area"
"janus kinase 1","Amino Acid, Peptide, or Protein"
"janus kinase 1","Enzyme"
"janus kinase 3","Amino Acid, Peptide, or Protein"
"janus kinase 3","Enzyme"
"japan","Geographic Area"
"jaundice","Sign or Symptom"
"jaw, edentulous","Disease or Syndrome"
"jealousy","Mental Process"
"jejunal neoplasms","Neoplastic Process"
"jejunum","Body Part, Organ, or Organ Component"
"jews","Population Group"
"jnk mitogen-activated protein kinases","Amino Acid, Peptide, or Protein"
"jnk mitogen-activated protein kinases","Enzyme"
"job description","Intellectual Product"
"job satisfaction","Mental Process"
"job syndrome","Disease or Syndrome"
"jogging","Daily or Recreational Activity"
"joint diseases","Disease or Syndrome"
"joint dislocations","Injury or Poisoning"
"joint instability","Finding"
"joint prosthesis","Medical Device"
"joints","Body Space or Junction"
"jordan","Geographic Area"
"judgment","Mental Process"
"jugular veins","Body Part, Organ, or Organ Component"
"juniperus","Plant"
"jurisprudence","Governmental or Regulatory Activity"
"jurkat cells","Cell"
"k562 cells","Cell"
"kaempferols","Organic Chemical"
"kaempferols","Pharmacologic Substance"
"kallidin","Amino Acid, Peptide, or Protein"
"kallidin","Biologically Active Substance"
"kallidin","Pharmacologic Substance"
"kallikrein-kinin system","Body System"
"kallikreins","Amino Acid, Peptide, or Protein"
"kallikreins","Enzyme"
"kallikreins","Pharmacologic Substance"
"kansas","Geographic Area"
"kaplan-meier estimate","Quantitative Concept"
"kaposi varicelliform eruption","Disease or Syndrome"
"karnofsky performance status","Diagnostic Procedure"
"kartagener syndrome","Disease or Syndrome"
"karyotyping","Research Activity"
"kazakhstan","Geographic Area"
"kentucky","Geographic Area"
"kenya","Geographic Area"
"keratan sulfate","Biologically Active Substance"
"keratan sulfate","Organic Chemical"
"keratin-18","Amino Acid, Peptide, or Protein"
"keratin-18","Biologically Active Substance"
"keratin-19","Amino Acid, Peptide, or Protein"
"keratin-19","Biologically Active Substance"
"keratin-8","Amino Acid, Peptide, or Protein"
"keratin-8","Biologically Active Substance"
"keratins","Amino Acid, Peptide, or Protein"
"keratoconus","Disease or Syndrome"
"keratolytic agents","Pharmacologic Substance"
"keratoplasty, penetrating","Therapeutic or Preventive Procedure"
"kerosene","Substance"
"ketamine","Organic Chemical"
"ketamine","Pharmacologic Substance"
"ketanserin","Organic Chemical"
"ketanserin","Pharmacologic Substance"
"keto acids","Organic Chemical"
"ketoconazole","Organic Chemical"
"ketoconazole","Pharmacologic Substance"
"ketoglutaric acids","Biologically Active Substance"
"ketoglutaric acids","Organic Chemical"
"ketolides","Organic Chemical"
"ketolides","Pharmacologic Substance"
"ketone bodies","Biologically Active Substance"
"ketone bodies","Organic Chemical"
"ketones","Organic Chemical"
"ketoprofen","Organic Chemical"
"ketoprofen","Pharmacologic Substance"
"ketorolac","Organic Chemical"
"ketorolac","Pharmacologic Substance"
"ketorolac tromethamine","Organic Chemical"
"ketorolac tromethamine","Pharmacologic Substance"
"ketosis","Disease or Syndrome"
"ketosteroids","Organic Chemical"
"ketotifen","Organic Chemical"
"ketotifen","Pharmacologic Substance"
"khellin","Organic Chemical"
"khellin","Pharmacologic Substance"
"ki-67 antigen","Amino Acid, Peptide, or Protein"
"ki-67 antigen","Immunologic Factor"
"ki-67 antigen","Indicator, Reagent, or Diagnostic Aid"
"kidney","Body Part, Organ, or Organ Component"
"kidney calculi","Disease or Syndrome"
"kidney diseases","Disease or Syndrome"
"kidney failure, chronic","Disease or Syndrome"
"kidney function tests","Laboratory Procedure"
"kidney glomerulus","Body Part, Organ, or Organ Component"
"kidney neoplasms","Neoplastic Process"
"kidney pelvis","Body Part, Organ, or Organ Component"
"kidney transplantation","Therapeutic or Preventive Procedure"
"kidney tubules","Body Part, Organ, or Organ Component"
"killer cells, natural","Cell"
"kinesin","Amino Acid, Peptide, or Protein"
"kinesin","Enzyme"
"kinetics","Natural Phenomenon or Process"
"kinetocardiography","Diagnostic Procedure"
"kininogens","Amino Acid, Peptide, or Protein"
"kininogens","Biologically Active Substance"
"kinins","Amino Acid, Peptide, or Protein"
"kinins","Biologically Active Substance"
"klebsiella","Bacterium"
"klebsiella infections","Disease or Syndrome"
"klebsiella pneumoniae","Bacterium"
"klippel-feil syndrome","Congenital Abnormality"
"knee injuries","Injury or Poisoning"
"knee joint","Body Space or Junction"
"knowledge","Intellectual Product"
"korea","Disease or Syndrome"
"krypton","Element, Ion, or Isotope"
"krypton","Pharmacologic Substance"
"krypton radioisotopes","Element, Ion, or Isotope"
"kuwait","Geographic Area"
"kynurenine","Amino Acid, Peptide, or Protein"
"kynurenine","Biologically Active Substance"
"kyrgyzstan","Geographic Area"
"l-lactate dehydrogenase","Amino Acid, Peptide, or Protein"
"l-lactate dehydrogenase","Enzyme"
"l-selectin","Amino Acid, Peptide, or Protein"
"l-selectin","Immunologic Factor"
"l-selectin","Receptor"
"labetalol","Organic Chemical"
"labetalol","Pharmacologic Substance"
"labor unions","Organization"
"labor, induced","Finding"
"labor, obstetric","Organism Function"
"laboratories","Health Care Related Organization"
"laboratories","Manufactured Object"
"laboratories, hospital","Health Care Related Organization"
"laboratories, hospital","Manufactured Object"
"labyrinth diseases","Disease or Syndrome"
"lacrimal apparatus","Body Part, Organ, or Organ Component"
"lacrimal apparatus diseases","Disease or Syndrome"
"lacrimal duct obstruction","Anatomical Abnormality"
"lactalbumin","Amino Acid, Peptide, or Protein"
"lactalbumin","Biologically Active Substance"
"lactase","Amino Acid, Peptide, or Protein"
"lactase","Enzyme"
"lactase","Pharmacologic Substance"
"lactates","Organic Chemical"
"lactic acid","Biologically Active Substance"
"lactic acid","Organic Chemical"
"lactic acid","Pharmacologic Substance"
"lactobacillus","Bacterium"
"lactobacillus rhamnosus","Bacterium"
"lactoferrin","Amino Acid, Peptide, or Protein"
"lactoferrin","Biologically Active Substance"
"lactoglobulins","Amino Acid, Peptide, or Protein"
"lactoglobulins","Biologically Active Substance"
"lactones","Organic Chemical"
"lactose","Biologically Active Substance"
"lactose","Organic Chemical"
"lactose intolerance","Disease or Syndrome"
"lactose tolerance test","Laboratory Procedure"
"lagomorpha","Mammal"
"laminectomy","Therapeutic or Preventive Procedure"
"laminin","Amino Acid, Peptide, or Protein"
"laminin","Biologically Active Substance"
"langerhans cells","Cell"
"language","Language"
"lansoprazole","Organic Chemical"
"lansoprazole","Pharmacologic Substance"
"laos","Geographic Area"
"laparoscopy","Diagnostic Procedure"
"laparotomy","Therapeutic or Preventive Procedure"
"laron syndrome","Disease or Syndrome"
"larva","Eukaryote"
"larva migrans, visceral","Disease or Syndrome"
"laryngeal diseases","Disease or Syndrome"
"laryngeal edema","Pathologic Function"
"laryngeal masks","Medical Device"
"laryngeal mucosa","Tissue"
"laryngeal muscles","Body Part, Organ, or Organ Component"
"laryngeal neoplasms","Neoplastic Process"
"laryngectomy","Therapeutic or Preventive Procedure"
"laryngismus","Disease or Syndrome"
"laryngitis","Disease or Syndrome"
"laryngomalacia","Congenital Abnormality"
"laryngopharyngeal reflux","Disease or Syndrome"
"laryngoscopy","Diagnostic Procedure"
"laryngostenosis","Disease or Syndrome"
"larynx","Disease or Syndrome"
"laser therapy","Therapeutic or Preventive Procedure"
"laser-doppler flowmetry","Diagnostic Procedure"
"lasers","Manufactured Object"
"lasers, gas","Manufactured Object"
"latex","Biomedical or Dental Material"
"latex","Organic Chemical"
"latex fixation tests","Laboratory Procedure"
"latex hypersensitivity","Pathologic Function"
"lathyrus","Plant"
"latin america","Geographic Area"
"laughter","Social Behavior"
"laughter therapy","Therapeutic or Preventive Procedure"
"laxatives","Pharmacologic Substance"
"lead","Element, Ion, or Isotope"
"lead","Hazardous or Poisonous Substance"
"lead poisoning","Injury or Poisoning"
"lead poisoning, nervous system, adult","Injury or Poisoning"
"learning","Educational Activity"
"learning disorders","Mental or Behavioral Dysfunction"
"least-squares analysis","Quantitative Concept"
"lebanon","Geographic Area"
"lectins","Amino Acid, Peptide, or Protein"
"lectins","Biologically Active Substance"
"lectins, c-type","Amino Acid, Peptide, or Protein"
"lectins, c-type","Biologically Active Substance"
"leg","Body Part, Organ, or Organ Component"
"leg dermatoses","Disease or Syndrome"
"leg injuries","Injury or Poisoning"
"leg ulcer","Disease or Syndrome"
"legal guardians","Population Group"
"legionella","Bacterium"
"legionella pneumophila","Bacterium"
"legionnaires' disease","Disease or Syndrome"
"legislation, medical","Regulation or Law"
"leiomyoma","Neoplastic Process"
"leiomyomatosis","Neoplastic Process"
"leiomyosarcoma","Neoplastic Process"
"leishmania","Eukaryote"
"leishmaniasis, visceral","Disease or Syndrome"
"leisure activities","Daily or Recreational Activity"
"length of stay","Temporal Concept"
"lens capsule, crystalline","Body Part, Organ, or Organ Component"
"lens cortex, crystalline","Body Part, Organ, or Organ Component"
"lens implantation, intraocular","Therapeutic or Preventive Procedure"
"lens nucleus, crystalline","Body Part, Organ, or Organ Component"
"lens plant","Plant"
"leptin","Amino Acid, Peptide, or Protein"
"leptin","Hormone"
"lethal dose 50","Quantitative Concept"
"lettuce","Food"
"leucine","Amino Acid, Peptide, or Protein"
"leucine","Biologically Active Substance"
"leucine","Pharmacologic Substance"
"leucomycins","Antibiotic"
"leucomycins","Organic Chemical"
"leukapheresis","Therapeutic or Preventive Procedure"
"leukemia","Neoplastic Process"
"leukemia, lymphocytic, chronic, b-cell","Neoplastic Process"
"leukemia, lymphoid","Neoplastic Process"
"leukemia, myelogenous, chronic, bcr-abl positive","Neoplastic Process"
"leukemia, myeloid","Neoplastic Process"
"leukemia, myeloid, acute","Neoplastic Process"
"leukemia, myeloid, chronic-phase","Neoplastic Process"
"leukemia, t-cell","Neoplastic Process"
"leukemoid reaction","Disease or Syndrome"
"leukocyte adherence inhibition test","Laboratory Procedure"
"leukocyte count","Laboratory Procedure"
"leukocyte elastase","Amino Acid, Peptide, or Protein"
"leukocyte elastase","Enzyme"
"leukocyte l1 antigen complex","Amino Acid, Peptide, or Protein"
"leukocyte l1 antigen complex","Immunologic Factor"
"leukocyte migration-inhibitory factors","Amino Acid, Peptide, or Protein"
"leukocyte migration-inhibitory factors","Immunologic Factor"
"leukocytes","Laboratory Procedure"
"leukocytes, mononuclear","Cell"
"leukocytosis","Pathologic Function"
"leukopenia","Disease or Syndrome"
"leukoplakia","Neoplastic Process"
"leukoplakia, hairy","Neoplastic Process"
"leukopoiesis","Organ or Tissue Function"
"leukotriene a4","Biologically Active Substance"
"leukotriene a4","Organic Chemical"
"leukotriene antagonists","Organic Chemical"
"leukotriene antagonists","Pharmacologic Substance"
"leukotriene b4","Biologically Active Substance"
"leukotriene b4","Organic Chemical"
"leukotriene c4","Biologically Active Substance"
"leukotriene c4","Organic Chemical"
"leukotriene d4","Biologically Active Substance"
"leukotriene d4","Organic Chemical"
"leukotriene e4","Biologically Active Substance"
"leukotriene e4","Organic Chemical"
"leukotrienes","Biologically Active Substance"
"leukotrienes","Organic Chemical"
"levamisole","Organic Chemical"
"levamisole","Pharmacologic Substance"
"levodopa","Amino Acid, Peptide, or Protein"
"levodopa","Biologically Active Substance"
"levodopa","Pharmacologic Substance"
"levofloxacin","Antibiotic"
"levofloxacin","Organic Chemical"
"levonorgestrel","Hormone"
"levonorgestrel","Organic Chemical"
"levonorgestrel","Pharmacologic Substance"
"lewis blood-group system","Classification"
"liability, legal","Qualitative Concept"
"libido","Mental Process"
"libraries","Manufactured Object"
"libraries","Organization"
"licensure, medical","Governmental or Regulatory Activity"
"lichen planus","Disease or Syndrome"
"lidocaine","Organic Chemical"
"lidocaine","Pharmacologic Substance"
"life change events","Phenomenon or Process"
"life expectancy","Group Attribute"
"life style","Social Behavior"
"life support care","Health Care Activity"
"life tables","Intellectual Product"
"life tables","Quantitative Concept"
"ligaments, articular","Body Part, Organ, or Organ Component"
"ligands","Chemical"
"ligation","Therapeutic or Preventive Procedure"
"lignans","Organic Chemical"
"lignin","Biologically Active Substance"
"lignin","Organic Chemical"
"likelihood functions","Intellectual Product"
"likelihood functions","Quantitative Concept"
"liliaceae","Plant"
"limb deformities, congenital","Congenital Abnormality"
"limbic system","Body System"
"limulus test","Laboratory Procedure"
"lincomycin","Antibiotic"
"lincomycin","Organic Chemical"
"lindane","Hazardous or Poisonous Substance"
"lindane","Organic Chemical"
"lindane","Pharmacologic Substance"
"linear models","Quantitative Concept"
"linezolid","Organic Chemical"
"linezolid","Pharmacologic Substance"
"linkage disequilibrium","Quantitative Concept"
"linoleic acid","Biologically Active Substance"
"linoleic acid","Organic Chemical"
"linoleic acid","Pharmacologic Substance"
"linoleic acids","Organic Chemical"
"linoleic acids, conjugated","Organic Chemical"
"linoleic acids, conjugated","Pharmacologic Substance"
"linseed oil","Food"
"linseed oil","Organic Chemical"
"linseed oil","Pharmacologic Substance"
"lip","Body Part, Organ, or Organ Component"
"lipase","Amino Acid, Peptide, or Protein"
"lipase","Enzyme"
"lipase","Pharmacologic Substance"
"lipid metabolism","Molecular Function"
"lipid peroxidation","Molecular Function"
"lipid peroxides","Organic Chemical"
"lipids","Organic Chemical"
"lipocalin-2","Amino Acid, Peptide, or Protein"
"lipocalin-2","Biologically Active Substance"
"lipocalins","Amino Acid, Peptide, or Protein"
"lipocalins","Biologically Active Substance"
"lipolysis","Organism Function"
"lipoma","Neoplastic Process"
"lipomatosis","Disease or Syndrome"
"lipomatosis, multiple symmetrical","Disease or Syndrome"
"lipopeptides","Amino Acid, Peptide, or Protein"
"lipopeptides","Pharmacologic Substance"
"lipopolysaccharides","Organic Chemical"
"lipoproteins","Amino Acid, Peptide, or Protein"
"lipoproteins","Biologically Active Substance"
"lipoproteins, hdl","Amino Acid, Peptide, or Protein"
"lipoproteins, hdl","Biologically Active Substance"
"lipoproteins, ldl","Biologically Active Substance"
"lipoproteins, ldl","Organic Chemical"
"liposomes","Organic Chemical"
"lipoxins","Biologically Active Substance"
"lipoxins","Organic Chemical"
"lipoxygenase","Amino Acid, Peptide, or Protein"
"lipoxygenase","Enzyme"
"lipoxygenase inhibitors","Pharmacologic Substance"
"liquid ventilation","Therapeutic or Preventive Procedure"
"lisinopril","Amino Acid, Peptide, or Protein"
"lisinopril","Pharmacologic Substance"
"lissamine green dyes","Indicator, Reagent, or Diagnostic Aid"
"lissamine green dyes","Organic Chemical"
"listeriosis","Disease or Syndrome"
"literature, modern","Intellectual Product"
"lithiasis","Pathologic Function"
"lithium","Element, Ion, or Isotope"
"lithium","Pharmacologic Substance"
"lithium carbonate","Inorganic Chemical"
"lithium carbonate","Pharmacologic Substance"
"live birth","Finding"
"livedo reticularis","Disease or Syndrome"
"liver","Body Part, Organ, or Organ Component"
"liver circulation","Organ or Tissue Function"
"liver cirrhosis","Disease or Syndrome"
"liver cirrhosis, alcoholic","Disease or Syndrome"
"liver cirrhosis, biliary","Disease or Syndrome"
"liver diseases","Disease or Syndrome"
"liver diseases, alcoholic","Disease or Syndrome"
"liver diseases, parasitic","Disease or Syndrome"
"liver failure, acute","Disease or Syndrome"
"liver function tests","Laboratory Procedure"
"liver neoplasms","Neoplastic Process"
"liver transplantation","Therapeutic or Preventive Procedure"
"lizards","Reptile"
"lobeline","Organic Chemical"
"lobeline","Pharmacologic Substance"
"local government","Organization"
"locomotion","Organism Function"
"locusta migratoria","Eukaryote"
"lod score","Quantitative Concept"
"logistic models","Intellectual Product"
"logistic models","Quantitative Concept"
"lolium","Plant"
"london","Geographic Area"
"long interspersed nucleotide elements","Biologically Active Substance"
"long interspersed nucleotide elements","Nucleic Acid, Nucleoside, or Nucleotide"
"long qt syndrome","Disease or Syndrome"
"long-term care","Health Care Activity"
"longevity","Temporal Concept"
"longitudinal studies","Research Activity"
"lopinavir","Organic Chemical"
"lopinavir","Pharmacologic Substance"
"loratadine","Organic Chemical"
"loratadine","Pharmacologic Substance"
"los angeles","Geographic Area"
"losartan","Organic Chemical"
"losartan","Pharmacologic Substance"
"loss of heterozygosity","Genetic Function"
"louisiana","Geographic Area"
"lovastatin","Organic Chemical"
"lovastatin","Pharmacologic Substance"
"low back pain","Sign or Symptom"
"low-level light therapy","Therapeutic or Preventive Procedure"
"lower extremity","Body Part, Organ, or Organ Component"
"luciferases","Amino Acid, Peptide, or Protein"
"luciferases","Enzyme"
"luciferases","Indicator, Reagent, or Diagnostic Aid"
"lumbar vertebrae","Body Part, Organ, or Organ Component"
"lumbosacral plexus","Body Part, Organ, or Organ Component"
"lumbosacral region","Body Location or Region"
"lumican","Amino Acid, Peptide, or Protein"
"luminescence","Natural Phenomenon or Process"
"luminescent agents","Indicator, Reagent, or Diagnostic Aid"
"luminescent measurements","Laboratory Procedure"
"luminol","Indicator, Reagent, or Diagnostic Aid"
"luminol","Organic Chemical"
"lung","Body Part, Organ, or Organ Component"
"lung abscess","Disease or Syndrome"
"lung compliance","Organ or Tissue Function"
"lung diseases","Disease or Syndrome"
"lung diseases, fungal","Disease or Syndrome"
"lung diseases, interstitial","Disease or Syndrome"
"lung diseases, obstructive","Disease or Syndrome"
"lung diseases, parasitic","Disease or Syndrome"
"lung injury","Injury or Poisoning"
"lung neoplasms","Neoplastic Process"
"lung transplantation","Therapeutic or Preventive Procedure"
"lung volume measurements","Diagnostic Procedure"
"lung, hyperlucent","Disease or Syndrome"
"lupus erythematosus, systemic","Disease or Syndrome"
"luteal phase","Organ or Tissue Function"
"luteinizing hormone","Amino Acid, Peptide, or Protein"
"luteinizing hormone","Hormone"
"luteinizing hormone","Pharmacologic Substance"
"lycopersicon esculentum","Plant"
"lyme neuroborreliosis","Disease or Syndrome"
"lymph","Body Substance"
"lymph node excision","Therapeutic or Preventive Procedure"
"lymph nodes","Body Part, Organ, or Organ Component"
"lymphadenitis","Disease or Syndrome"
"lymphangiogenesis","Physiologic Function"
"lymphangioleiomyomatosis","Neoplastic Process"
"lymphatic diseases","Disease or Syndrome"
"lymphatic metastasis","Neoplastic Process"
"lymphatic vessels","Body Part, Organ, or Organ Component"
"lymphedema","Disease or Syndrome"
"lymphocyte activation","Cell Function"
"lymphocyte cooperation","Cell Function"
"lymphocyte count","Laboratory Procedure"
"lymphocyte culture test, mixed","Laboratory Procedure"
"lymphocyte depletion","Therapeutic or Preventive Procedure"
"lymphocyte function-associated antigen-1","Amino Acid, Peptide, or Protein"
"lymphocyte function-associated antigen-1","Immunologic Factor"
"lymphocyte function-associated antigen-1","Receptor"
"lymphocyte specific protein tyrosine kinase p56(lck)","Amino Acid, Peptide, or Protein"
"lymphocyte specific protein tyrosine kinase p56(lck)","Enzyme"
"lymphocyte subsets","Classification"
"lymphocytes","Cell"
"lymphocytosis","Disease or Syndrome"
"lymphography","Diagnostic Procedure"
"lymphohistiocytosis, hemophagocytic","Disease or Syndrome"
"lymphoid progenitor cells","Cell"
"lymphoid tissue","Tissue"
"lymphokines","Amino Acid, Peptide, or Protein"
"lymphokines","Immunologic Factor"
"lymphoma","Neoplastic Process"
"lymphoma, b-cell","Neoplastic Process"
"lymphoma, follicular","Neoplastic Process"
"lymphoma, large b-cell, diffuse","Neoplastic Process"
"lymphoma, non-hodgkin","Neoplastic Process"
"lymphoma, t-cell","Neoplastic Process"
"lymphomatoid granulomatosis","Neoplastic Process"
"lymphopenia","Disease or Syndrome"
"lymphoproliferative disorders","Neoplastic Process"
"lymphotoxin-alpha","Amino Acid, Peptide, or Protein"
"lymphotoxin-alpha","Immunologic Factor"
"lysergic acid diethylamide","Hazardous or Poisonous Substance"
"lysergic acid diethylamide","Organic Chemical"
"lysine","Amino Acid, Peptide, or Protein"
"lysine","Biologically Active Substance"
"lysine","Pharmacologic Substance"
"lysine carboxypeptidase","Amino Acid, Peptide, or Protein"
"lysine carboxypeptidase","Enzyme"
"lysophosphatidylcholines","Organic Chemical"
"lysophospholipase","Amino Acid, Peptide, or Protein"
"lysophospholipase","Enzyme"
"lysophospholipids","Organic Chemical"
"lysosomes","Cell Component"
"macaca","Mammal"
"macaca mulatta","Mammal"
"macaca radiata","Mammal"
"macedonia (republic)","Geographic Area"
"machiavellianism","Mental Process"
"macroglobulins","Amino Acid, Peptide, or Protein"
"macroglobulins","Immunologic Factor"
"macrolides","Antibiotic"
"macrolides","Organic Chemical"
"macromolecular substances","Chemical Viewed Structurally"
"macrophage activation","Cell Function"
"macrophage activation syndrome","Disease or Syndrome"
"macrophage colony-stimulating factor","Amino Acid, Peptide, or Protein"
"macrophage colony-stimulating factor","Immunologic Factor"
"macrophage inflammatory proteins","Amino Acid, Peptide, or Protein"
"macrophage inflammatory proteins","Immunologic Factor"
"macrophage migration-inhibitory factors","Amino Acid, Peptide, or Protein"
"macrophage migration-inhibitory factors","Immunologic Factor"
"macrophage-1 antigen","Amino Acid, Peptide, or Protein"
"macrophage-1 antigen","Immunologic Factor"
"macrophages","Cell"
"macrophages, alveolar","Cell"
"macular degeneration","Disease or Syndrome"
"madin darby canine kidney cells","Cell"
"magnesium","Biologically Active Substance"
"magnesium","Element, Ion, or Isotope"
"magnesium chloride","Inorganic Chemical"
"magnesium chloride","Pharmacologic Substance"
"magnesium deficiency","Disease or Syndrome"
"magnesium sulfate","Inorganic Chemical"
"magnesium sulfate","Pharmacologic Substance"
"magnetic resonance angiography","Diagnostic Procedure"
"magnetic resonance imaging","Diagnostic Procedure"
"magnetic resonance spectroscopy","Diagnostic Procedure"
"magnetics","Occupation or Discipline"
"magnolia","Plant"
"maintenance","Activity"
"maintenance chemotherapy","Finding"
"major histocompatibility complex","Gene or Genome"
"malabsorption syndromes","Disease or Syndrome"
"malacoplakia","Pathologic Function"
"malaria","Disease or Syndrome"
"malassezia","Fungus"
"malate dehydrogenase","Amino Acid, Peptide, or Protein"
"malate dehydrogenase","Enzyme"
"malawi","Geographic Area"
"malaysia","Geographic Area"
"male","Organism Attribute"
"maleic anhydrides","Indicator, Reagent, or Diagnostic Aid"
"maleic anhydrides","Organic Chemical"
"mali","Geographic Area"
"malignant carcinoid syndrome","Disease or Syndrome"
"malignant hyperthermia","Disease or Syndrome"
"malingering","Individual Behavior"
"mallory-weiss syndrome","Disease or Syndrome"
"malnutrition","Disease or Syndrome"
"malocclusion","Disease or Syndrome"
"malocclusion, angle class iii","Congenital Abnormality"
"malondialdehyde","Biologically Active Substance"
"malondialdehyde","Organic Chemical"
"malpractice","Qualitative Concept"
"malus","Plant"
"malvaceae","Plant"
"mammaplasty","Therapeutic or Preventive Procedure"
"managed care programs","Health Care Activity"
"management information systems","Intellectual Product"
"management information systems","Manufactured Object"
"management quality circles","Occupational Activity"
"mandatory reporting","Governmental or Regulatory Activity"
"mandelic acids","Organic Chemical"
"mandible","Body Part, Organ, or Organ Component"
"mandibular diseases","Disease or Syndrome"
"mandibular fractures","Injury or Poisoning"
"maneb","Hazardous or Poisonous Substance"
"maneb","Organic Chemical"
"manganese","Biologically Active Substance"
"manganese","Element, Ion, or Isotope"
"manganese poisoning","Injury or Poisoning"
"mangifera","Plant"
"manifest anxiety scale","Diagnostic Procedure"
"manifest anxiety scale","Intellectual Product"
"manikins","Manufactured Object"
"manipulation, orthopedic","Therapeutic or Preventive Procedure"
"manipulation, osteopathic","Therapeutic or Preventive Procedure"
"manipulation, spinal","Therapeutic or Preventive Procedure"
"manitoba","Geographic Area"
"mannans","Organic Chemical"
"mannans","Pharmacologic Substance"
"mannitol","Organic Chemical"
"mannitol","Pharmacologic Substance"
"mannose","Organic Chemical"
"mannose","Pharmacologic Substance"
"mannose-binding lectin","Amino Acid, Peptide, or Protein"
"mannose-binding lectin","Pharmacologic Substance"
"mannose-binding lectins","Amino Acid, Peptide, or Protein"
"mannose-binding lectins","Biologically Active Substance"
"mannosides","Organic Chemical"
"manometry","Laboratory Procedure"
"manuals as topic","Intellectual Product"
"manuals as topic","Manufactured Object"
"manufactured materials","Manufactured Object"
"map kinase kinase 1","Amino Acid, Peptide, or Protein"
"map kinase kinase 1","Enzyme"
"map kinase kinase 3","Amino Acid, Peptide, or Protein"
"map kinase kinase 3","Enzyme"
"map kinase kinase 4","Amino Acid, Peptide, or Protein"
"map kinase kinase 4","Enzyme"
"map kinase kinase kinase 1","Amino Acid, Peptide, or Protein"
"map kinase kinase kinase 1","Enzyme"
"map kinase signaling system","Molecular Function"
"maprotiline","Organic Chemical"
"maprotiline","Pharmacologic Substance"
"marfan syndrome","Disease or Syndrome"
"margarine","Food"
"marine toxins","Amino Acid, Peptide, or Protein"
"marine toxins","Hazardous or Poisonous Substance"
"marital status","Group Attribute"
"marketing","Occupational Activity"
"markov chains","Quantitative Concept"
"marriage","Finding"
"marsupialia","Mammal"
"maryland","Geographic Area"
"masks","Medical Device"
"mass chest x-ray","Therapeutic or Preventive Procedure"
"mass media","Human-caused Phenomenon or Process"
"mass screening","Health Care Activity"
"mass spectrometry","Laboratory Procedure"
"mass vaccination","Therapeutic or Preventive Procedure"
"massachusetts","Geographic Area"
"massage","Therapeutic or Preventive Procedure"
"mast cells","Cell"
"mastectomy","Therapeutic or Preventive Procedure"
"mastectomy, modified radical","Therapeutic or Preventive Procedure"
"mastectomy, radical","Therapeutic or Preventive Procedure"
"mastication","Organ or Tissue Function"
"mastocytosis","Disease or Syndrome"
"mastocytosis, systemic","Disease or Syndrome"
"mastoid","Body Part, Organ, or Organ Component"
"matched-pair analysis","Qualitative Concept"
"materia medica","Pharmacologic Substance"
"maternal age","Temporal Concept"
"maternal behavior","Social Behavior"
"maternal exposure","Injury or Poisoning"
"maternal mortality","Quantitative Concept"
"maternal welfare","Quantitative Concept"
"maternal-fetal exchange","Organism Function"
"mathematical computing","Machine Activity"
"mathematics","Occupation or Discipline"
"matrix metalloproteinase 1","Amino Acid, Peptide, or Protein"
"matrix metalloproteinase 1","Enzyme"
"matrix metalloproteinase 10","Amino Acid, Peptide, or Protein"
"matrix metalloproteinase 10","Enzyme"
"matrix metalloproteinase 12","Amino Acid, Peptide, or Protein"
"matrix metalloproteinase 12","Enzyme"
"matrix metalloproteinase 2","Amino Acid, Peptide, or Protein"
