"mesh","umls"
"hyperlipidemias","Disease or Syndrome"
"hyperlipoproteinemias","Disease or Syndrome"
"hypernatremia","Disease or Syndrome"
"hyperopia","Disease or Syndrome"
"hyperoxia","Sign or Symptom"
"hyperphosphatemia","Disease or Syndrome"
"hyperpigmentation","Pathologic Function"
"hyperplasia","Pathologic Function"
"hypersensitivity","Pathologic Function"
"hypersensitivity, delayed","Pathologic Function"
"hypersensitivity, immediate","Pathologic Function"
"hypertension","Disease or Syndrome"
"hypertension, pregnancy-induced","Disease or Syndrome"
"hypertension, pulmonary","Pathologic Function"
"hypertension, renal","Disease or Syndrome"
"hypertension, renovascular","Disease or Syndrome"
"hyperthermia, induced","Therapeutic or Preventive Procedure"
"hyperthyroidism","Disease or Syndrome"
"hypertonic solutions","Pharmacologic Substance"
"hypertrichosis","Disease or Syndrome"
"hypertrophy","Pathologic Function"
"hypertrophy, right ventricular","Disease or Syndrome"
"hyperventilation","Finding"
"hypervitaminosis a","Disease or Syndrome"
"hypnosis","Therapeutic or Preventive Procedure"
"hypnosis, anesthetic","Therapeutic or Preventive Procedure"
"hypnotics and sedatives","Pharmacologic Substance"
"hypocalcemia","Disease or Syndrome"
"hypocapnia","Finding"
"hypoglycemia","Disease or Syndrome"
"hypoglycemic agents","Pharmacologic Substance"
"hypogonadism","Disease or Syndrome"
"hypokalemia","Finding"
"hypokalemic periodic paralysis","Disease or Syndrome"
"hyponatremia","Disease or Syndrome"
"hypopharynx","Body Location or Region"
"hypopigmentation","Disease or Syndrome"
"hypopituitarism","Disease or Syndrome"
"hypotension","Finding"
"hypotension, orthostatic","Finding"
"hypothalamic diseases","Disease or Syndrome"
"hypothalamo-hypophyseal system","Body System"
"hypothalamus","Body Part, Organ, or Organ Component"
"hypothermia","Finding"
"hypothyroidism","Disease or Syndrome"
"hypotonic solutions","Pharmacologic Substance"
"hypoventilation","Pathologic Function"
"hypovolemia","Finding"
"hypoxia","Pathologic Function"
"hypoxia-ischemia, brain","Disease or Syndrome"
"hypoxia, brain","Pathologic Function"
"hysteria","Mental or Behavioral Dysfunction"
"i-kappa b proteins","Amino Acid, Peptide, or Protein"
"i-kappa b proteins","Immunologic Factor"
"iatrogenic disease","Disease or Syndrome"
"ibuprofen","Organic Chemical"
"ibuprofen","Pharmacologic Substance"
"ice","Inorganic Chemical"
"iceland","Geographic Area"
"ichthyosis","Disease or Syndrome"
"ichthyosis vulgaris","Congenital Abnormality"
"ichthyosis vulgaris","Disease or Syndrome"
"ichthyosis, x-linked","Disease or Syndrome"
"identification (psychology)","Mental Process"
"iga deficiency","Disease or Syndrome"
"igg deficiency","Disease or Syndrome"
"ileostomy","Therapeutic or Preventive Procedure"
"ileum","Body Part, Organ, or Organ Component"
"illegitimacy","Finding"
"illinois","Geographic Area"
"illness behavior","Social Behavior"
"image interpretation, computer-assisted","Diagnostic Procedure"
"image interpretation, computer-assisted","Research Activity"
"image processing, computer-assisted","Machine Activity"
"imagery (psychotherapy)","Therapeutic or Preventive Procedure"
"imagination","Mental Process"
"imaging, three-dimensional","Diagnostic Procedure"
"imidazoles","Organic Chemical"
"imidazoles","Pharmacologic Substance"
"imino acids","Amino Acid, Peptide, or Protein"
"imipramine","Organic Chemical"
"imipramine","Pharmacologic Substance"
"imitative behavior","Social Behavior"
"immersion","Diagnostic Procedure"
"immobilization","Therapeutic or Preventive Procedure"
"immune adherence reaction","Laboratory Procedure"
"immune sera","Amino Acid, Peptide, or Protein"
"immune sera","Immunologic Factor"
"immune sera","Pharmacologic Substance"
"immune system","Body System"
"immune system diseases","Disease or Syndrome"
"immune tolerance","Pathologic Function"
"immunity","Physiologic Function"
"immunity, active","Organ or Tissue Function"
"immunity, cellular","Organism Function"
"immunity, humoral","Organism Function"
"immunity, innate","Organism Attribute"
"immunity, maternally-acquired","Organism Function"
"immunity, mucosal","Organ or Tissue Function"
"immunization","Therapeutic or Preventive Procedure"
"immunization programs","Health Care Activity"
"immunization schedule","Therapeutic or Preventive Procedure"
"immunization, passive","Therapeutic or Preventive Procedure"
"immunization, secondary","Therapeutic or Preventive Procedure"
"immunoassay","Laboratory Procedure"
"immunoblotting","Laboratory Procedure"
"immunochemistry","Biomedical Occupation or Discipline"
"immunocompetence","Cell Function"
"immunocompromised host","Finding"
"immunodiffusion","Laboratory Procedure"
"immunoelectrophoresis","Laboratory Procedure"
"immunoelectrophoresis, two-dimensional","Laboratory Procedure"
"immunoenzyme techniques","Laboratory Procedure"
"immunogenetics","Biomedical Occupation or Discipline"
"immunoglobulin a","Amino Acid, Peptide, or Protein"
"immunoglobulin a","Immunologic Factor"
"immunoglobulin a, secretory","Amino Acid, Peptide, or Protein"
"immunoglobulin a, secretory","Immunologic Factor"
"immunoglobulin allotypes","Immunologic Factor"
"immunoglobulin class switching","Genetic Function"
"immunoglobulin constant regions","Amino Acid, Peptide, or Protein"
"immunoglobulin constant regions","Immunologic Factor"
"immunoglobulin d","Amino Acid, Peptide, or Protein"
"immunoglobulin d","Immunologic Factor"
"immunoglobulin d","Pharmacologic Substance"
"immunoglobulin e","Amino Acid, Peptide, or Protein"
"immunoglobulin e","Immunologic Factor"
"immunoglobulin epsilon-chains","Amino Acid, Peptide, or Protein"
"immunoglobulin epsilon-chains","Immunologic Factor"
"immunoglobulin fc fragments","Amino Acid, Peptide, or Protein"
"immunoglobulin fc fragments","Immunologic Factor"
"immunoglobulin g","Amino Acid, Peptide, or Protein"
"immunoglobulin g","Immunologic Factor"
"immunoglobulin g","Pharmacologic Substance"
"immunoglobulin gamma-chains","Amino Acid, Peptide, or Protein"
"immunoglobulin gamma-chains","Immunologic Factor"
"immunoglobulin gm allotypes","Amino Acid, Peptide, or Protein"
"immunoglobulin gm allotypes","Immunologic Factor"
"immunoglobulin heavy chains","Amino Acid, Peptide, or Protein"
"immunoglobulin heavy chains","Immunologic Factor"
"immunoglobulin isotypes","Amino Acid, Peptide, or Protein"
"immunoglobulin isotypes","Immunologic Factor"
"immunoglobulin m","Amino Acid, Peptide, or Protein"
"immunoglobulin m","Immunologic Factor"
"immunoglobulins","Amino Acid, Peptide, or Protein"
"immunoglobulins","Immunologic Factor"
"immunoglobulins, intravenous","Amino Acid, Peptide, or Protein"
"immunoglobulins, intravenous","Immunologic Factor"
"immunoglobulins, intravenous","Pharmacologic Substance"
"immunohistochemistry","Diagnostic Procedure"
"immunologic deficiency syndromes","Disease or Syndrome"
"immunologic factors","Immunologic Factor"
"immunologic memory","Organ or Tissue Function"
"immunologic techniques","Laboratory Procedure"
"immunologic tests","Laboratory Procedure"
"immunomodulation","Organism Function"
"immunophenotyping","Laboratory Procedure"
"immunosorbent techniques","Laboratory Procedure"
"immunosorbents","Indicator, Reagent, or Diagnostic Aid"
"immunosuppression","Therapeutic or Preventive Procedure"
"immunosuppressive agents","Immunologic Factor"
"immunosuppressive agents","Pharmacologic Substance"
"immunotherapy","Therapeutic or Preventive Procedure"
"immunotherapy, active","Therapeutic or Preventive Procedure"
"immunotherapy, adoptive","Therapeutic or Preventive Procedure"
"impetigo","Disease or Syndrome"
"impulsive behavior","Individual Behavior"
"in situ hybridization","Molecular Biology Research Technique"
"in situ nick-end labeling","Molecular Biology Research Technique"
"in vitro techniques","Laboratory Procedure"
"in vitro techniques","Research Activity"
"inactivation, metabolic","Organism Function"
"inappropriate adh syndrome","Pathologic Function"
"inappropriate prescribing","Health Care Activity"
"incidence","Quantitative Concept"
"incidental findings","Finding"
"incineration","Human-caused Phenomenon or Process"
"incisor","Body Part, Organ, or Organ Component"
"inclusion bodies","Cell Component"
"income","Quantitative Concept"
"incubators","Manufactured Object"
"indans","Organic Chemical"
"indenes","Organic Chemical"
"independent practice associations","Health Care Related Organization"
"india","Geographic Area"
"indiana","Geographic Area"
"indians, central american","Population Group"
"indians, north american","Population Group"
"indians, south american","Population Group"
"indicators and reagents","Indicator, Reagent, or Diagnostic Aid"
"indium","Element, Ion, or Isotope"
"individuality","Social Behavior"
"individuation","Mental Process"
"indoleacetic acids","Organic Chemical"
"indomethacin","Organic Chemical"
"indomethacin","Pharmacologic Substance"
"indonesia","Geographic Area"
"industrial waste","Environmental Effect of Humans"
"industrial waste","Hazardous or Poisonous Substance"
"industry","Occupational Activity"
"infant","Age Group"
"infant behavior","Individual Behavior"
"infant care","Daily or Recreational Activity"
"infant equipment","Manufactured Object"
"infant food","Food"
"infant formula","Food"
"infant mortality","Quantitative Concept"
"infant nutrition disorders","Disease or Syndrome"
"infant nutritional physiological phenomena","Organism Function"
"infant welfare","Health Care Activity"
"infant, extremely low birth weight","Disease or Syndrome"
"infant, low birth weight","Patient or Disabled Group"
"infant, newborn","Age Group"
"infant, newborn, diseases","Disease or Syndrome"
"infant, premature","Disease or Syndrome"
"infant, premature, diseases","Disease or Syndrome"
"infant, small for gestational age","Disease or Syndrome"
"infant, very low birth weight","Disease or Syndrome"
"infection","Disease or Syndrome"
"infection control","Health Care Activity"
"infectious disease medicine","Biomedical Occupation or Discipline"
"infectious disease transmission, vertical","Pathologic Function"
"infectious mononucleosis","Disease or Syndrome"
"inflammation","Pathologic Function"
"inflammation mediators","Pharmacologic Substance"
"inflammatory bowel diseases","Disease or Syndrome"
"infliximab","Amino Acid, Peptide, or Protein"
"infliximab","Immunologic Factor"
"infliximab","Pharmacologic Substance"
"influenza a virus","Virus"
"influenza a virus, h1n1 subtype","Virus"
"influenza a virus, h3n2 subtype","Virus"
"influenza b virus","Virus"
"influenza vaccines","Immunologic Factor"
"influenza vaccines","Pharmacologic Substance"
"influenza, human","Disease or Syndrome"
"information centers","Manufactured Object"
"information centers","Organization"
"information dissemination","Social Behavior"
"information management","Occupational Activity"
"information services","Occupational Activity"
"information storage and retrieval","Machine Activity"
"information storage and retrieval","Occupational Activity"
"information systems","Intellectual Product"
"informed consent","Regulation or Law"
"infrared rays","Natural Phenomenon or Process"
"infratentorial neoplasms","Neoplastic Process"
"infusion pumps","Medical Device"
"infusions, intravenous","Therapeutic or Preventive Procedure"
"infusions, parenteral","Therapeutic or Preventive Procedure"
"inhalation","Organism Function"
"inhalation exposure","Injury or Poisoning"
"inhalation spacers","Medical Device"
"inheritance patterns","Genetic Function"
"inhibition (psychology)","Mental Process"
"injections","Therapeutic or Preventive Procedure"
"injections, intradermal","Therapeutic or Preventive Procedure"
"injections, intramuscular","Functional Concept"
"injections, intraperitoneal","Therapeutic or Preventive Procedure"
"injections, intravenous","Functional Concept"
"injections, spinal","Functional Concept"
"injections, subcutaneous","Functional Concept"
"inpatients","Patient or Disabled Group"
"insect bites and stings","Injury or Poisoning"
"insect control","Human-caused Phenomenon or Process"
"insect proteins","Amino Acid, Peptide, or Protein"
"insect proteins","Biologically Active Substance"
"insecticides","Hazardous or Poisonous Substance"
"insects","Eukaryote"
"inservice training","Educational Activity"
"inspiratory capacity","Finding"
"instillation, drug","Therapeutic or Preventive Procedure"
"institutional practice","Health Care Activity"
"institutionalization","Health Care Activity"
"insufflation","Health Care Activity"
"insulin","Amino Acid, Peptide, or Protein"
"insulin","Hormone"
"insulin","Pharmacologic Substance"
"insulin glargine","Amino Acid, Peptide, or Protein"
"insulin glargine","Hormone"
"insulin glargine","Pharmacologic Substance"
"insulin resistance","Pathologic Function"
"insulin-like growth factor binding protein 1","Amino Acid, Peptide, or Protein"
"insulin-like growth factor binding protein 1","Biologically Active Substance"
"insulin-like growth factor binding protein 2","Amino Acid, Peptide, or Protein"
"insulin-like growth factor binding protein 2","Biologically Active Substance"
"insulin-like growth factor binding protein 3","Amino Acid, Peptide, or Protein"
"insulin-like growth factor binding protein 3","Pharmacologic Substance"
"insulin-like growth factor binding proteins","Amino Acid, Peptide, or Protein"
"insulin-like growth factor binding proteins","Biologically Active Substance"
"insulin-like growth factor i","Amino Acid, Peptide, or Protein"
"insulin-like growth factor i","Biologically Active Substance"
"insulin-secreting cells","Cell"
"insulin, long-acting","Amino Acid, Peptide, or Protein"
"insulin, long-acting","Hormone"
"insulin, long-acting","Pharmacologic Substance"
"insurance","Idea or Concept"
"insurance benefits","Quantitative Concept"
"insurance carriers","Organization"
"insurance claim reporting","Health Care Activity"
"insurance claim review","Health Care Activity"
"insurance coverage","Idea or Concept"
"insurance selection bias","Qualitative Concept"
"insurance, health","Health Care Activity"
"insurance, health, reimbursement","Health Care Activity"
"insurance, hospitalization","Health Care Activity"
"insurance, pharmaceutical services","Health Care Related Organization"
"insurance, physician services","Health Care Activity"
"integrative medicine","Biomedical Occupation or Discipline"
"integrin alpha4beta1","Amino Acid, Peptide, or Protein"
"integrin alpha4beta1","Receptor"
"integrin alpha6","Amino Acid, Peptide, or Protein"
"integrin alpha6","Biologically Active Substance"
"integrin alphaxbeta2","Amino Acid, Peptide, or Protein"
"integrin alphaxbeta2","Immunologic Factor"
"integrin alphaxbeta2","Receptor"
"integrin beta3","Amino Acid, Peptide, or Protein"
"integrin beta3","Biologically Active Substance"
"integrins","Amino Acid, Peptide, or Protein"
"integrins","Immunologic Factor"
"integrins","Receptor"
"intellectual disability","Mental or Behavioral Dysfunction"
"intelligence","Mental Process"
"intelligence tests","Diagnostic Procedure"
"intensive care units","Health Care Related Organization"
"intensive care units","Manufactured Object"
"intensive care units, neonatal","Health Care Related Organization"
"intensive care units, neonatal","Manufactured Object"
"intensive care units, pediatric","Health Care Related Organization"
"intensive care units, pediatric","Manufactured Object"
"intention","Mental Process"
"intercellular adhesion molecule-1","Amino Acid, Peptide, or Protein"
"intercellular adhesion molecule-1","Immunologic Factor"
"intercellular signaling peptides and proteins","Amino Acid, Peptide, or Protein"
"intercellular signaling peptides and proteins","Biologically Active Substance"
"intercostal muscles","Body Part, Organ, or Organ Component"
"interdisciplinary communication","Social Behavior"
"interferon regulatory factor-1","Amino Acid, Peptide, or Protein"
"interferon regulatory factor-1","Biologically Active Substance"
"interferon regulatory factor-2","Amino Acid, Peptide, or Protein"
"interferon regulatory factor-2","Biologically Active Substance"
"interferon regulatory factor-7","Amino Acid, Peptide, or Protein"
"interferon regulatory factor-7","Biologically Active Substance"
"interferon regulatory factors","Amino Acid, Peptide, or Protein"
"interferon regulatory factors","Biologically Active Substance"
"interferon type i","Amino Acid, Peptide, or Protein"
"interferon type i","Immunologic Factor"
"interferon type i","Pharmacologic Substance"
"interferon-alpha","Amino Acid, Peptide, or Protein"
"interferon-alpha","Immunologic Factor"
"interferon-alpha","Pharmacologic Substance"
"interferon-beta","Amino Acid, Peptide, or Protein"
"interferon-beta","Immunologic Factor"
"interferon-beta","Pharmacologic Substance"
"interferon-gamma","Amino Acid, Peptide, or Protein"
"interferon-gamma","Immunologic Factor"
"interferon-gamma","Pharmacologic Substance"
"interferon-induced helicase, ifih1","Amino Acid, Peptide, or Protein"
"interferon-induced helicase, ifih1","Enzyme"
"interferons","Amino Acid, Peptide, or Protein"
"interferons","Immunologic Factor"
"interferons","Pharmacologic Substance"
"interinstitutional relations","Social Behavior"
"interior design and furnishings","Manufactured Object"
"interleukin 1 receptor antagonist protein","Amino Acid, Peptide, or Protein"
"interleukin 1 receptor antagonist protein","Pharmacologic Substance"
"interleukin-1","Amino Acid, Peptide, or Protein"
"interleukin-1","Immunologic Factor"
"interleukin-1 receptor-associated kinases","Amino Acid, Peptide, or Protein"
"interleukin-1 receptor-associated kinases","Enzyme"
"interleukin-1 receptor-like 1 protein","Amino Acid, Peptide, or Protein"
"interleukin-1 receptor-like 1 protein","Immunologic Factor"
"interleukin-1 receptor-like 1 protein","Receptor"
"interleukin-10","Amino Acid, Peptide, or Protein"
"interleukin-10","Immunologic Factor"
"interleukin-11","Amino Acid, Peptide, or Protein"
"interleukin-11","Immunologic Factor"
"interleukin-12","Amino Acid, Peptide, or Protein"
"interleukin-12","Immunologic Factor"
"interleukin-12","Pharmacologic Substance"
"interleukin-12 subunit p40","Amino Acid, Peptide, or Protein"
"interleukin-12 subunit p40","Immunologic Factor"
"interleukin-13","Amino Acid, Peptide, or Protein"
"interleukin-13","Immunologic Factor"
"interleukin-13 receptor alpha1 subunit","Amino Acid, Peptide, or Protein"
"interleukin-13 receptor alpha1 subunit","Receptor"
"interleukin-15","Amino Acid, Peptide, or Protein"
"interleukin-15","Immunologic Factor"
"interleukin-16","Amino Acid, Peptide, or Protein"
"interleukin-16","Immunologic Factor"
"interleukin-17","Amino Acid, Peptide, or Protein"
"interleukin-17","Immunologic Factor"
"interleukin-18","Amino Acid, Peptide, or Protein"
"interleukin-18","Immunologic Factor"
"interleukin-1beta","Amino Acid, Peptide, or Protein"
"interleukin-1beta","Immunologic Factor"
"interleukin-2","Amino Acid, Peptide, or Protein"
"interleukin-2","Immunologic Factor"
"interleukin-2 receptor alpha subunit","Amino Acid, Peptide, or Protein"
"interleukin-2 receptor alpha subunit","Immunologic Factor"
"interleukin-2 receptor alpha subunit","Receptor"
"interleukin-23","Amino Acid, Peptide, or Protein"
"interleukin-23","Biologically Active Substance"
"interleukin-3","Amino Acid, Peptide, or Protein"
"interleukin-3","Immunologic Factor"
"interleukin-33","Amino Acid, Peptide, or Protein"
"interleukin-33","Biologically Active Substance"
"interleukin-4","Amino Acid, Peptide, or Protein"
"interleukin-4","Immunologic Factor"
"interleukin-4 receptor alpha subunit","Amino Acid, Peptide, or Protein"
"interleukin-4 receptor alpha subunit","Receptor"
"interleukin-5","Amino Acid, Peptide, or Protein"
"interleukin-5","Immunologic Factor"
"interleukin-6","Amino Acid, Peptide, or Protein"
"interleukin-6","Immunologic Factor"
"interleukin-8","Amino Acid, Peptide, or Protein"
"interleukin-8","Immunologic Factor"
"interleukin-9","Amino Acid, Peptide, or Protein"
"interleukin-9","Immunologic Factor"
"interleukins","Amino Acid, Peptide, or Protein"
"interleukins","Immunologic Factor"
"intermediate filament proteins","Amino Acid, Peptide, or Protein"
"intermediate filament proteins","Biologically Active Substance"
"intermittent positive-pressure breathing","Therapeutic or Preventive Procedure"
"intermittent positive-pressure ventilation","Therapeutic or Preventive Procedure"
"internal medicine","Biomedical Occupation or Discipline"
"internal-external control","Idea or Concept"
"international agencies","Organization"
"international classification of diseases","Intellectual Product"
"international cooperation","Governmental or Regulatory Activity"
"international educational exchange","Activity"
"internationality","Idea or Concept"
"internet","Manufactured Object"
"internship and residency","Educational Activity"
"interpersonal relations","Social Behavior"
"interprofessional relations","Social Behavior"
"interview, psychological","Diagnostic Procedure"
"interviews as topic","Activity"
"intestinal absorption","Organ or Tissue Function"
"intestinal atresia","Disease or Syndrome"
"intestinal diseases","Disease or Syndrome"
"intestinal diseases, parasitic","Disease or Syndrome"
"intestinal fistula","Anatomical Abnormality"
"intestinal mucosa","Tissue"
"intestinal obstruction","Disease or Syndrome"
"intestine, large","Body Part, Organ, or Organ Component"
"intestine, small","Body Part, Organ, or Organ Component"
"intestines","Body Part, Organ, or Organ Component"
"intracellular signaling peptides and proteins","Amino Acid, Peptide, or Protein"
"intracellular signaling peptides and proteins","Biologically Active Substance"
"intracellular space","Body Space or Junction"
"intracranial aneurysm","Disease or Syndrome"
"intracranial arteriosclerosis","Disease or Syndrome"
"intracranial arteriovenous malformations","Congenital Abnormality"
"intracranial hemorrhages","Disease or Syndrome"
"intracranial pressure","Organ or Tissue Function"
"intradermal tests","Diagnostic Procedure"
"intramolecular oxidoreductases","Amino Acid, Peptide, or Protein"
"intramolecular oxidoreductases","Enzyme"
"intraocular pressure","Organ or Tissue Function"
"intraoperative care","Health Care Activity"
"intraoperative complications","Pathologic Function"
"introns","Biologically Active Substance"
"introns","Nucleic Acid, Nucleoside, or Nucleotide"
"introversion (psychology)","Mental Process"
"intubation","Therapeutic or Preventive Procedure"
"intubation, gastrointestinal","Therapeutic or Preventive Procedure"
"intubation, intratracheal","Therapeutic or Preventive Procedure"
"intussusception","Disease or Syndrome"
"inuits","Population Group"
"inulin","Indicator, Reagent, or Diagnostic Aid"
"inulin","Organic Chemical"
"inulin","Pharmacologic Substance"
"inventions","Intellectual Product"
"investigational new drug application","Intellectual Product"
"investments","Manufactured Object"
"iodides","Inorganic Chemical"
"iodine","Biologically Active Substance"
"iodine","Element, Ion, or Isotope"
"iodine","Pharmacologic Substance"
"iodine isotopes","Element, Ion, or Isotope"
"iodine radioisotopes","Element, Ion, or Isotope"
"iodine radioisotopes","Hazardous or Poisonous Substance"
"iodocyanopindolol","Indicator, Reagent, or Diagnostic Aid"
"iodocyanopindolol","Organic Chemical"
"ion channels","Amino Acid, Peptide, or Protein"
"ion channels","Biologically Active Substance"
"ion transport","Cell Function"
"ionomycin","Organic Chemical"
"ionomycin","Pharmacologic Substance"
"ionophores","Pharmacologic Substance"
"ions","Element, Ion, or Isotope"
"iontophoresis","Therapeutic or Preventive Procedure"
"iowa","Geographic Area"
"ipratropium","Organic Chemical"
"ipratropium","Pharmacologic Substance"
"iran","Geographic Area"
"iraq","Geographic Area"
"ireland","Geographic Area"
"iridocyclitis","Disease or Syndrome"
"iron","Biologically Active Substance"
"iron","Element, Ion, or Isotope"
"iron","Pharmacologic Substance"
"iron-dextran complex","Organic Chemical"
"iron-dextran complex","Pharmacologic Substance"
"iron, dietary","Inorganic Chemical"
"irritable bowel syndrome","Disease or Syndrome"
"irritable mood","Finding"
"irritants","Hazardous or Poisonous Substance"
"ischemia","Pathologic Function"
"ischemic attack, transient","Disease or Syndrome"
"islam","Idea or Concept"
"isoantibodies","Immunologic Factor"
"isocyanates","Organic Chemical"
"isoelectric focusing","Laboratory Procedure"
"isoenzymes","Amino Acid, Peptide, or Protein"
"isoenzymes","Enzyme"
"isoetharine","Organic Chemical"
"isoetharine","Pharmacologic Substance"
"isoflurane","Organic Chemical"
"isoflurane","Pharmacologic Substance"
"isolated noncompaction of the ventricular myocardium","Disease or Syndrome"
"isoleucine","Amino Acid, Peptide, or Protein"
"isoleucine","Biologically Active Substance"
"isoleucine","Pharmacologic Substance"
"isomerism","Natural Phenomenon or Process"
"isoniazid","Organic Chemical"
"isoniazid","Pharmacologic Substance"
"isonicotinic acids","Organic Chemical"
"isoprostanes","Biologically Active Substance"
"isoprostanes","Organic Chemical"
"isoproterenol","Organic Chemical"
"isoproterenol","Pharmacologic Substance"
"isoquinolines","Organic Chemical"
"isotonic solutions","Pharmacologic Substance"
"isotopes","Element, Ion, or Isotope"
"isotretinoin","Organic Chemical"
"isotretinoin","Pharmacologic Substance"
"isoxazoles","Organic Chemical"
"israel","Geographic Area"
"italy","Geographic Area"
"itraconazole","Organic Chemical"
"itraconazole","Pharmacologic Substance"
"ivermectin","Organic Chemical"
"ivermectin","Pharmacologic Substance"
"jamaica","Geographic Area"
"janus kinase 1","Amino Acid, Peptide, or Protein"
"janus kinase 1","Enzyme"
"japan","Geographic Area"
"jaundice","Sign or Symptom"
"jaundice, neonatal","Disease or Syndrome"
"jaw abnormalities","Congenital Abnormality"
"jealousy","Mental Process"
"jejunum","Body Part, Organ, or Organ Component"
"jews","Population Group"
"job description","Intellectual Product"
"job satisfaction","Mental Process"
"job syndrome","Disease or Syndrome"
"jogging","Daily or Recreational Activity"
"joint commission on accreditation of healthcare organizations","Health Care Related Organization"
"joint diseases","Disease or Syndrome"
"joint dislocations","Injury or Poisoning"
"joint instability","Finding"
"joints","Body Space or Junction"
"jordan","Geographic Area"
"josamycin","Antibiotic"
"josamycin","Organic Chemical"
"judaism","Idea or Concept"
"judgment","Mental Process"
"jugular veins","Body Part, Organ, or Organ Component"
"juvenile delinquency","Individual Behavior"
"kallikreins","Amino Acid, Peptide, or Protein"
"kallikreins","Enzyme"
"kallikreins","Pharmacologic Substance"
"kanamycin","Antibiotic"
"kanamycin","Organic Chemical"
"kansas","Geographic Area"
"kaplan-meier estimate","Quantitative Concept"
"kaposi varicelliform eruption","Disease or Syndrome"
"kartagener syndrome","Disease or Syndrome"
"karyopherins","Amino Acid, Peptide, or Protein"
"karyopherins","Biologically Active Substance"
"kelch-like ech-associated protein 1","Amino Acid, Peptide, or Protein"
"kelch-like ech-associated protein 1","Biologically Active Substance"
"kentucky","Geographic Area"
"kenya","Geographic Area"
"keratin-13","Amino Acid, Peptide, or Protein"
"keratin-13","Biologically Active Substance"
"keratinocytes","Cell"
"keratins","Amino Acid, Peptide, or Protein"
"keratitis","Disease or Syndrome"
"keratoconjunctivitis","Disease or Syndrome"
"keratoderma, palmoplantar","Disease or Syndrome"
"keratolytic agents","Pharmacologic Substance"
"kerosene","Substance"
"ketamine","Organic Chemical"
"ketamine","Pharmacologic Substance"
"ketones","Organic Chemical"
"ketotifen","Organic Chemical"
"ketotifen","Pharmacologic Substance"
"khellin","Organic Chemical"
"khellin","Pharmacologic Substance"
"ki-67 antigen","Amino Acid, Peptide, or Protein"
"ki-67 antigen","Immunologic Factor"
"ki-67 antigen","Indicator, Reagent, or Diagnostic Aid"
"kidney","Body Part, Organ, or Organ Component"
"kidney concentrating ability","Organ or Tissue Function"
"kidney diseases","Disease or Syndrome"
"kidney failure, chronic","Disease or Syndrome"
"kidney function tests","Laboratory Procedure"
"kidney glomerulus","Body Part, Organ, or Organ Component"
"kidney neoplasms","Neoplastic Process"
"kidney transplantation","Therapeutic or Preventive Procedure"
"kidney tubules","Body Part, Organ, or Organ Component"
"killer cells, natural","Cell"
"kinesin","Amino Acid, Peptide, or Protein"
"kinesin","Enzyme"
"kinesiology, applied","Biomedical Occupation or Discipline"
"kinetics","Natural Phenomenon or Process"
"kininogens","Amino Acid, Peptide, or Protein"
"kininogens","Biologically Active Substance"
"kinins","Amino Acid, Peptide, or Protein"
"kinins","Biologically Active Substance"
"klebsiella","Bacterium"
"klebsiella pneumoniae","Bacterium"
"knee","Body Part, Organ, or Organ Component"
"knee joint","Body Space or Junction"
"knowledge","Intellectual Product"
"knowledge bases","Intellectual Product"
"knowledge of results (psychology)","Functional Concept"
"korea","Disease or Syndrome"
"krypton","Element, Ion, or Isotope"
"krypton","Pharmacologic Substance"
"krypton radioisotopes","Element, Ion, or Isotope"
"kuwait","Geographic Area"
"kymography","Diagnostic Procedure"
"kynurenic acid","Organic Chemical"
"kynurenic acid","Pharmacologic Substance"
"kynurenine","Amino Acid, Peptide, or Protein"
"kynurenine","Biologically Active Substance"
"kyphosis","Anatomical Abnormality"
"kyrgyzstan","Geographic Area"
"l-lactate dehydrogenase","Amino Acid, Peptide, or Protein"
"l-lactate dehydrogenase","Enzyme"
"l-selectin","Amino Acid, Peptide, or Protein"
"l-selectin","Immunologic Factor"
"l-selectin","Receptor"
"labial frenum","Body Part, Organ, or Organ Component"
"labor, induced","Finding"
"labor, obstetric","Organism Function"
"laboratories","Health Care Related Organization"
"laboratories","Manufactured Object"
"lacerations","Injury or Poisoning"
"lactalbumin","Amino Acid, Peptide, or Protein"
"lactalbumin","Biologically Active Substance"
"lactams","Antibiotic"
"lactams","Organic Chemical"
"lactates","Organic Chemical"
"lactation","Organism Function"
"lactic acid","Biologically Active Substance"
"lactic acid","Organic Chemical"
"lactic acid","Pharmacologic Substance"
"lactobacillus","Bacterium"
"lactobacillus casei","Bacterium"
"lactobacillus rhamnosus","Bacterium"
"lactoglobulins","Amino Acid, Peptide, or Protein"
"lactoglobulins","Biologically Active Substance"
"lactones","Organic Chemical"
"lactose","Biologically Active Substance"
"lactose","Organic Chemical"
"lactose intolerance","Disease or Syndrome"
"lactulose","Organic Chemical"
"lactulose","Pharmacologic Substance"
"laminin","Amino Acid, Peptide, or Protein"
"laminin","Biologically Active Substance"
"lanatosides","Organic Chemical"
"lanatosides","Pharmacologic Substance"
"language","Language"
"language development","Mental Process"
"language development disorders","Mental or Behavioral Dysfunction"
"lansoprazole","Organic Chemical"
"lansoprazole","Pharmacologic Substance"
"lanthanum","Element, Ion, or Isotope"
"laos","Geographic Area"
"laparoscopy","Diagnostic Procedure"
"larva","Eukaryote"
"larva migrans","Disease or Syndrome"
"larva migrans, visceral","Disease or Syndrome"
